Station,Year,Month,T.max
Dhaka (11111),1970,12,25.57
Dhaka (11111),1971,1,24.73
Dhaka (11111),1971,2,27.37
Dhaka (11111),1971,3,32.42
Dhaka (11111),1971,4,33.73
Dhaka (11111),1971,5,31.21
Dhaka (11111),1971,6,30.25
Dhaka (11111),1971,7,30.24
Dhaka (11111),1971,8,29.43
Dhaka (11111),1971,9,30.72
Dhaka (11111),1971,10,30.42
Dhaka (11111),1971,11,27.45
Dhaka (11111),1971,12,26.22
Dhaka (11111),1972,1,25.85
Dhaka (11111),1972,2,26.01
Dhaka (11111),1972,3,33.2
Dhaka (11111),1972,4,33.11
Dhaka (11111),1972,5,33.84
Dhaka (11111),1972,6,31.9
Dhaka (11111),1972,7,31.59
Dhaka (11111),1972,8,30.29
Dhaka (11111),1972,9,32.21
Dhaka (11111),1972,10,31.71
Dhaka (11111),1972,11,29.64
Dhaka (11111),1972,12,26.82
Dhaka (11111),1973,1,26.65
Dhaka (11111),1973,2,29.73
Dhaka (11111),1973,3,31.36
Dhaka (11111),1973,4,34.46
Dhaka (11111),1973,5,31.16
Dhaka (11111),1973,6,31.31
Dhaka (11111),1973,7,31.09
Dhaka (11111),1973,8,31.18
Dhaka (11111),1973,9,30.92
Dhaka (11111),1973,10,30.51
Dhaka (11111),1973,11,27.29
Dhaka (11111),1973,12,24.42
Dhaka (11111),1974,1,25.33
Dhaka (11111),1974,2,28.23
Dhaka (11111),1974,3,32.59
Dhaka (11111),1974,4,33.93
Dhaka (11111),1974,5,32.95
Dhaka (11111),1974,6,31.82
Dhaka (11111),1974,7,31.24
Dhaka (11111),1974,8,31.37
Dhaka (11111),1974,9,31.61
Dhaka (11111),1974,10,31.2
Dhaka (11111),1974,11,29.15
Dhaka (11111),1974,12,26.22
Dhaka (11111),1975,1,25.14
Dhaka (11111),1975,2,28.18
Dhaka (11111),1975,3,33.13
Dhaka (11111),1975,4,34.77
Dhaka (11111),1975,5,32.68
Dhaka (11111),1975,6,31.99
Dhaka (11111),1975,7,29.77
Dhaka (11111),1975,8,30.95
Dhaka (11111),1975,9,30.47
Dhaka (11111),1975,10,30.6
Dhaka (11111),1975,11,27.35
Dhaka (11111),1975,12,25.26
Dhaka (11111),1976,1,25.71
Dhaka (11111),1976,2,28.06
Dhaka (11111),1976,3,32.84
Dhaka (11111),1976,4,34.6
Dhaka (11111),1976,5,32.2
Dhaka (11111),1976,6,30.79
Dhaka (11111),1976,7,30.67
Dhaka (11111),1976,8,30.3
Dhaka (11111),1976,9,31.57
Dhaka (11111),1976,10,31.29
Dhaka (11111),1976,11,29.93
Dhaka (11111),1976,12,25.95
Dhaka (11111),1977,1,24.95
Dhaka (11111),1977,2,27.6
Dhaka (11111),1977,3,33.2
Dhaka (11111),1977,4,31.29
Dhaka (11111),1977,5,30.9
Dhaka (11111),1977,6,30.38
Dhaka (11111),1977,7,31.14
Dhaka (11111),1977,8,31.38
Dhaka (11111),1977,9,32.15
Dhaka (11111),1977,10,30.35
Dhaka (11111),1977,11,28.6
Dhaka (11111),1977,12,25.6
Dhaka (11111),1978,1,24.35
Dhaka (11111),1978,2,27.25
Dhaka (11111),1978,3,31.85
Dhaka (11111),1978,4,32.93
Dhaka (11111),1978,5,31.34
Dhaka (11111),1978,6,31.09
Dhaka (11111),1978,7,31.12
Dhaka (11111),1978,8,31.64
Dhaka (11111),1978,9,31.25
Dhaka (11111),1978,10,31.85
Dhaka (11111),1978,11,29.99
Dhaka (11111),1978,12,27.07
Dhaka (11111),1979,1,26.72
Dhaka (11111),1979,2,27.21
Dhaka (11111),1979,3,32.87
Dhaka (11111),1979,4,34.71
Dhaka (11111),1979,5,35.19
Dhaka (11111),1979,6,32.12
Dhaka (11111),1979,7,31.37
Dhaka (11111),1979,8,31.52
Dhaka (11111),1979,9,31.41
Dhaka (11111),1979,10,31.33
Dhaka (11111),1979,11,30.26
Dhaka (11111),1979,12,25.25
Dhaka (11111),1980,1,24.64
Dhaka (11111),1980,2,27.92
Dhaka (11111),1980,3,31.84
Dhaka (11111),1980,4,35.31
Dhaka (11111),1980,5,31.84
Dhaka (11111),1980,6,31.57
Dhaka (11111),1980,7,30.89
Dhaka (11111),1980,8,31.37
Dhaka (11111),1980,9,31.39
Dhaka (11111),1980,10,30.43
Dhaka (11111),1980,11,29.4
Dhaka (11111),1980,12,26.65
Dhaka (11111),1981,1,25.12
Dhaka (11111),1981,2,27.03
Dhaka (11111),1981,3,30.42
Dhaka (11111),1981,4,30.65
Dhaka (11111),1981,5,31.88
Dhaka (11111),1981,6,32.75
Dhaka (11111),1981,7,30.55
Dhaka (11111),1981,8,32.43
Dhaka (11111),1981,9,31.73
Dhaka (11111),1981,10,32.35
Dhaka (11111),1981,11,29.98
Dhaka (11111),1981,12,25.49
Dhaka (11111),1982,1,26.27
Dhaka (11111),1982,2,27.29
Dhaka (11111),1982,3,30.84
Dhaka (11111),1982,4,32.84
Dhaka (11111),1982,5,34.61
Dhaka (11111),1982,6,31.58
Dhaka (11111),1982,7,31.96
Dhaka (11111),1982,8,30.95
Dhaka (11111),1982,9,32.09
Dhaka (11111),1982,10,32.04
Dhaka (11111),1982,11,28.05
Dhaka (11111),1982,12,25.63
Dhaka (11111),1983,1,24.48
Dhaka (11111),1983,2,26.69
Dhaka (11111),1983,3,31.44
Dhaka (11111),1983,4,32.92
Dhaka (11111),1983,5,32.28
Dhaka (11111),1983,6,32.93
Dhaka (11111),1983,7,31.95
